2105,6569
2096,417
567,8073
65,5873
61,0583
51,4303
48,7187
48,3149
48,3149
48,3149
48,3149
48,3149
48,3149
48,3149
48,3149
48,3149
48,3149
21,66
21,66
21,66
17,5
17,5
17,5
17,5
17,5
17,5
17,1
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,46
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,42
16,24
16,24
16,24
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
